tag_id,tag_name,category,definition,examples,keywords_fr,keywords_en,keywords_it,keywords_es,keywords_de
1,leather_small,PRODUCT_PREFERENCES,"Small leather goods like wallets and cardholders","Wallets, cardholders, key holders","portefeuille, portecarte, porte-clés","wallet, cardholder, key holder","portafoglio, portacarte, portachiavi","cartera, tarjetero, llavero","Geldbörse, Kartenetui, Schlüsselanhänger"
2,leather_travel,PRODUCT_PREFERENCES,"Travel bags and luggage pieces","Weekend bag, travel bag, luggage","sac voyage, sac weekend, bagage","travel bag, weekend bag, luggage","borsa viaggio, borsa weekend, bagaglio","bolso viaje, maleta","Reisetasche, Koffer, Gepäck"
3,leather_work,PRODUCT_PREFERENCES,"Professional bags for work use","Briefcase, work bag, laptop bag","serviette, sac travail, porte-documents","briefcase, work bag, laptop bag","borsa lavoro, valigetta","maletín, bolso trabajo","Aktentasche, Arbeitstasche"
4,ready_to_wear,PRODUCT_PREFERENCES,"Ready-to-wear fashion items","Clothing, apparel, fashion items","prêt-à-porter, vêtements, mode","ready-to-wear, clothing, fashion","prêt-à-porter, abbigliamento, moda","prêt-à-porter, ropa, moda","Prêt-à-porter, Kleidung, Mode"
5,watches,PRODUCT_PREFERENCES,"Watch products and horlogerie interest","Watches, timepieces, horlogerie","montres, horlogerie","watches, timepieces, horlogerie","orologi, orologeria","relojes, relojería","Uhren, Uhrmacherei"
6,jewelry,PRODUCT_PREFERENCES,"Jewelry and fine jewelry pieces","Jewelry, fine jewelry, bijoux","bijoux, joaillerie","jewelry, fine jewelry","gioielli, gioielleria","joyas, joyería","Schmuck, Juwelen"
7,shoes,PRODUCT_PREFERENCES,"Footwear and shoe products","Shoes, boots, footwear","chaussures, bottes, souliers","shoes, boots, footwear","scarpe, stivali, calzature","zapatos, botas, calzado","Schuhe, Stiefel, Schuhwerk"
8,accessories,PRODUCT_PREFERENCES,"Fashion accessories and add-ons","Belts, scarves, accessories","accessoires, ceintures, écharpes","accessories, belts, scarves","accessori, cinture, sciarpe","accesorios, cinturones, pañuelos","Accessoires, Gürtel, Schals"
9,personalization_interest,PRODUCT_PREFERENCES,"Interest in personalized/custom pieces","Initials, monogram, bespoke","personnalisation, initiales, monogramme","personalization, initials, monogram","personalizzazione, iniziali, monogramma","personalización, iniciales, monograma","Personalisierung, Initialen, Monogramm"
10,limited_editions_interest,PRODUCT_PREFERENCES,"Interest in limited edition pieces","Limited, exclusive, rare pieces","édition limitée, exclusif, rare","limited edition, exclusive, rare","edizione limitata, esclusivo, raro","edición limitada, exclusivo, raro","limitierte Auflage, exklusiv, selten"
11,golf,LIFESTYLE,"Golf player or enthusiast","Golf club member, plays golf","golf, golfeur, club golf","golf, golfer, golf club","golf, golfista, club golf","golf, golfista, club golf","Golf, Golfer, Golfclub"
12,tennis,LIFESTYLE,"Tennis player or enthusiast","Tennis club, Wimbledon, Queens","tennis, tennisman","tennis, tennis player","tennis, tennista","tenis, tenista","Tennis, Tennisspieler"
13,sailing,LIFESTYLE,"Sailing, yachting enthusiast","Yacht, sailing, regatta","voile, yacht, régate, bateau","sailing, yacht, regatta, boat","vela, yacht, regata, barca","vela, yate, regata, barco","Segeln, Yacht, Regatta, Boot"
14,equestrian,LIFESTYLE,"Horse riding and equestrian sports","Horses, dressage, equestrian","équitation, chevaux, dressage","equestrian, horses, dressage","equitazione, cavalli, dressage","equitación, caballos, doma","Reiten, Pferde, Dressur"
15,running_marathon,LIFESTYLE,"Running and marathon training","Marathon, running, jogging","course, marathon, running, jogging","running, marathon, jogging","corsa, maratona, running","correr, maratón, running","Laufen, Marathon, Joggen"
16,cycling,LIFESTYLE,"Cycling and bike sports","Cycling, bike, triathlon","cyclisme, vélo, triathlon","cycling, bike, triathlon","ciclismo, bicicletta, triathlon","ciclismo, bicicleta, triatlón","Radfahren, Fahrrad, Triathlon"
17,skiing,LIFESTYLE,"Skiing and winter sports","Skiing, Alps, winter sports","ski, Alpes, sports hiver","skiing, Alps, winter sports","sci, Alpi, sport invernali","esquí, Alpes, deportes invierno","Skifahren, Alpen, Wintersport"
18,yoga_pilates,LIFESTYLE,"Yoga and pilates practice","Yoga, pilates, wellness","yoga, pilates, bien-être","yoga, pilates, wellness","yoga, pilates, benessere","yoga, pilates, bienestar","Yoga, Pilates, Wellness"
19,art_collector,LIFESTYLE,"Collects art pieces","Art collector, collects paintings","collectionneur art, collectionne peintures","art collector, collects art","collezionista arte, colleziona arte","coleccionista arte, colecciona arte","Kunstsammler, sammelt Kunst"
20,wine_collector,LIFESTYLE,"Wine enthusiast or collector","Wine cellar, sommelier, vineyard","vin, cave, sommelier, vignoble","wine, cellar, sommelier, vineyard","vino, cantina, sommelier, vigneto","vino, bodega, sommelier, viñedo","Wein, Weinkeller, Sommelier, Weingut"
21,watch_collector,LIFESTYLE,"Collects watches","Watch collection, horlogerie","collectionne montres, horlogerie","watch collector, collects watches","colleziona orologi, orologeria","colecciona relojes, relojería","sammelt Uhren, Uhrensammler"
22,art_events_regular,LIFESTYLE,"Regularly attends art events","Art Basel, Frieze, Biennale","Art Basel, Frieze, Biennale, foire art","Art Basel, Frieze, Biennale, art fair","Art Basel, Frieze, Biennale, fiera arte","Art Basel, Frieze, Biennale, feria arte","Art Basel, Frieze, Biennale, Kunstmesse"
23,opera_theater_regular,LIFESTYLE,"Regularly attends opera or theater","Opera, theater, Scala, symphony","opéra, théâtre, symphonie, Scala","opera, theater, symphony, Scala","opera, teatro, sinfonia, Scala","ópera, teatro, sinfonía","Oper, Theater, Symphonie, Scala"
24,frequent_traveler_business,LIFESTYLE,"Frequent business travel","Business travel, conferences","voyage affaires, conférences, déplacements","business travel, conferences","viaggi affari, conferenze","viajes negocios, conferencias","Geschäftsreisen, Konferenzen"
25,frequent_traveler_leisure,LIFESTYLE,"Frequent leisure travel","Vacation, holidays, tourism","voyage, vacances, tourisme","travel, vacation, holidays","viaggio, vacanze, turismo","viaje, vacaciones, turismo","Reisen, Urlaub, Ferien"
26,vegan,SENSITIVITIES,"Follows vegan diet/lifestyle","Vegan, no animal products","végan, végane, vegan","vegan","vegano, vegana","vegano, vegana","vegan, Veganer"
27,vegetarian,SENSITIVITIES,"Follows vegetarian diet","Vegetarian, no meat","végétarien, végétarienne","vegetarian","vegetariano, vegetariana","vegetariano, vegetariana","Vegetarier, vegetarisch"
28,pescatarian,SENSITIVITIES,"Follows pescatarian diet","Pescatarian, fish only","pescétarien, pescetarien","pescatarian","pescetariano, pescetariana","pescetariano, pescetariana","Pescetarier, Pescetarier"
29,sustainable_values,SENSITIVITIES,"Values sustainability and ethics","Sustainable, ethical, eco","durable, éthique, eco, responsable","sustainable, ethical, eco","sostenibile, etico, eco","sostenible, ético, eco","nachhaltig, ethisch, öko"
30,artisan_craft_appreciation,SENSITIVITIES,"Appreciates artisanal craftsmanship","Artisan, handmade, craft","artisan, artisanat, fait main","artisan, handmade, craft","artigiano, fatto a mano, artigianato","artesano, hecho a mano, artesanía","Handwerk, handgemacht, Kunsthandwerk"
31,heritage_importance,SENSITIVITIES,"Values heritage and tradition","Heritage, tradition, history","héritage, tradition, histoire","heritage, tradition, history","eredità, tradizione, storia","herencia, tradición, historia","Erbe, Tradition, Geschichte"
32,innovation_interest,SENSITIVITIES,"Interest in innovation technology","Innovation, technology, modern","innovation, technologie, moderne","innovation, technology, modern","innovazione, tecnologia, moderno","innovación, tecnología, moderno","Innovation, Technologie, modern"
33,nickel_allergy,HEALTH_ALLERGIES,"Allergy to nickel metal","Nickel allergy, metal sensitivity","allergie nickel, allergie métal","nickel allergy, metal allergy","allergia nichel, allergia metallo","alergia níquel, alergia metal","Nickelallergie, Metallallergie"
34,latex_allergy,HEALTH_ALLERGIES,"Allergy to latex materials","Latex allergy","allergie latex","latex allergy","allergia lattice, allergia latex","alergia látex","Latexallergie"
35,nut_allergy,HEALTH_ALLERGIES,"Allergy to nuts","Nut allergy, peanut allergy","allergie noix, allergie arachides, fruits coque","nut allergy, peanut allergy","allergia noci, allergia arachidi","alergia nueces, alergia cacahuetes","Nussallergie, Erdnussallergie"
36,shellfish_allergy,HEALTH_ALLERGIES,"Allergy to shellfish","Shellfish allergy, seafood allergy","allergie crustacés, allergie fruits mer, allergie mariscos","shellfish allergy, seafood allergy","allergia crostacei, allergia frutti mare","alergia mariscos, alergia crustáceos","Schalentierallergie, Meeresfrüchteallergie"
37,gluten_intolerance,HEALTH_ALLERGIES,"Gluten intolerance or celiac","Gluten free, celiac","intolérance gluten, cœliaque, sans gluten","gluten intolerance, celiac, gluten free","intolleranza glutine, celiaco","intolerancia gluten, celiaco","Glutenunverträglichkeit, Zöliakie"
38,lactose_intolerance,HEALTH_ALLERGIES,"Lactose intolerance","Lactose intolerant, dairy free","intolérance lactose, sans lactose","lactose intolerance, dairy free","intolleranza lattosio, senza lattosio","intolerancia lactosa, sin lactosa","Laktoseintoleranz, laktosefrei"
39,vic,CLIENT_PROFILE,"Very Important Client status","VIC, top client, best client","VIC, client important, meilleur client","VIC, top client, best client","VIC, cliente importante, miglior cliente","VIC, cliente importante, mejor cliente","VIC, wichtiger Kunde, Top-Kunde"
40,regular_client,CLIENT_PROFILE,"Regular returning client","Regular, loyal, returning","client régulier, fidèle, habituel","regular client, loyal, returning","cliente regolare, fedele, abituale","cliente regular, fiel, habitual","Stammkunde, treuer Kunde, regelmäßig"
41,occasional_client,CLIENT_PROFILE,"Occasional visiting client","Occasional, sometimes, infrequent","client occasionnel, parfois","occasional client, sometimes","cliente occasionale, saltuario","cliente ocasional, esporádico","gelegentlicher Kunde, manchmal"
42,first_visit,CLIENT_PROFILE,"First time visiting the store","First visit, new, newcomer","première visite, nouveau, nouvelle","first visit, new, newcomer","prima visita, nuovo, nuova","primera visita, nuevo, nueva","erster Besuch, neu, Neuling"
43,multi_generational,CLIENT_PROFILE,"Multi-generational family shopping","Family, generations, together","famille, générations, ensemble","family, generations, together","famiglia, generazioni, insieme","familia, generaciones, juntos","Familie, Generationen, zusammen"
44,corporate_gifting,CLIENT_PROFILE,"Corporate or business gifting","Corporate gifts, business gifts, company","cadeaux entreprise, cadeaux affaires","corporate gifts, business gifts, company","regali aziendali, regali affari","regalos corporativos, regalos empresa","Firmengeschenke, Geschäftsgeschenke"
45,high_referral_potential,CLIENT_PROFILE,"High potential for client referrals","Referral, network, recommend, referred friends","référé, réseau, recommande, amis","referral, network, recommend, friends","referito, rete, raccomanda, amici","referido, red, recomienda, amigos","Empfehlung, Netzwerk, empfohlen, Freunde"
46,social_media_presence,CLIENT_PROFILE,"Active social media presence","Influencer, followers, Instagram, social","influenceur, followers, Instagram, réseaux","influencer, followers, Instagram, social","influencer, followers, Instagram, social","influencer, seguidores, Instagram, redes","Influencer, Follower, Instagram, soziale Medien"
47,anniversary_gift,PURCHASE_OCCASIONS,"Gift for anniversary occasion","Anniversary, wedding anniversary","anniversaire mariage, anniversaire","anniversary, wedding anniversary","anniversario matrimonio, anniversario","aniversario boda, aniversario","Hochzeitstag, Jahrestag"
48,birthday_gift,PURCHASE_OCCASIONS,"Gift for birthday occasion","Birthday, birthday gift","anniversaire, cadeau anniversaire","birthday, birthday gift","compleanno, regalo compleanno","cumpleaños, regalo cumpleaños","Geburtstag, Geburtstagsgeschenk"
49,wedding_gift,PURCHASE_OCCASIONS,"Gift for wedding occasion","Wedding, marriage, bride","mariage, mariée, noces","wedding, marriage, bride","matrimonio, sposa, nozze","boda, matrimonio, novia","Hochzeit, Heirat, Braut"
50,graduation_gift,PURCHASE_OCCASIONS,"Gift for graduation occasion","Graduation, diploma, degree","diplôme, diplomation, études","graduation, diploma, degree","laurea, diploma, laurea","graduación, diploma, título","Abschluss, Diplom, Studium"
51,self_purchase,PURCHASE_OCCASIONS,"Self purchase for personal use","Self, personal, for myself","pour soi, personnel, moi-même","self, personal, for myself","per sé, personale, me stesso","para sí, personal, yo mismo","für sich, persönlich, selbst"
52,business_gift,PURCHASE_OCCASIONS,"Gift for business/professional occasion","Business gift, corporate, professional","cadeau affaires, professionnel","business gift, professional","regalo affari, professionale","regalo negocio, profesional","Geschäftsgeschenk, professionell"
53,milestone_celebration,PURCHASE_OCCASIONS,"Major milestone celebration","Celebration, milestone, achievement","célébration, étape, réussite","celebration, milestone, achievement","celebrazione, traguardo, successo","celebración, hito, logro","Feier, Meilenstein, Erfolg"
54,medical_professional,PROFESSIONAL_PROFILE,"Works in medical/healthcare field","Doctor, surgeon, physician, cardiologist","médecin, chirurgien, cardiologue, docteur","doctor, surgeon, physician, cardiologist","medico, chirurgo, cardiologo, dottore","médico, cirujano, cardiólogo, doctor","Arzt, Chirurg, Kardiologe, Doktor"
55,legal_professional,PROFESSIONAL_PROFILE,"Works in legal field","Lawyer, attorney, barrister, notary","avocat, avocate, notaire, juriste","lawyer, attorney, barrister, notary","avvocato, avvocatessa, notaio, giurista","abogado, abogada, notario, jurista","Anwalt, Rechtsanwalt, Notar, Jurist"
56,finance_professional,PROFESSIONAL_PROFILE,"Works in finance/banking","Banker, finance, investment, hedge fund","banquier, finance, investissement","banker, finance, investment, hedge fund","banchiere, finanza, investimento","banquero, finanzas, inversión","Banker, Finanzen, Investition, Hedgefonds"
57,entrepreneur_tech,PROFESSIONAL_PROFILE,"Tech entrepreneur or startup founder","Startup, tech, entrepreneur, founder","startup, tech, entrepreneur, fondateur","startup, tech, entrepreneur, founder","startup, tech, imprenditore, fondatore","startup, tech, emprendedor, fundador","Startup, Tech, Unternehmer, Gründer"
58,creative_arts,PROFESSIONAL_PROFILE,"Works in creative/arts field","Artist, designer, architect, creative","artiste, designer, architecte, créatif","artist, designer, architect, creative","artista, designer, architetto, creativo","artista, diseñador, arquitecto, creativo","Künstler, Designer, Architekt, kreativ"
59,corporate_executive,PROFESSIONAL_PROFILE,"Corporate executive or director","Executive, director, CEO, manager","dirigeant, directeur, CEO, manager","executive, director, CEO, manager","dirigente, direttore, CEO, manager","ejecutivo, director, CEO, gerente","Führungskraft, Direktor, CEO, Manager"
