tag_id,tag_name,category,definition_fr,definition_en,business_value,keywords_fr,keywords_en,keywords_it,keywords_es,keywords_de
1,leather_goods,PRODUCT_PREFERENCES,"Intérêt pour la maroquinerie (sacs, petite maroquinerie)","Interest in leather goods (bags, SLG)","Core business driver","sac,maroquinerie,cuir,valise,portefeuille","bag,leather,handbag,wallet,purse","borsa,pelle,portafoglio","bolso,cuero,cartera","Tasche,Leder,Geldbörse"
2,watches,PRODUCT_PREFERENCES,"Intérêt pour l'horlogerie","Interest in watches/horology","High ticket item cross-sell","montre,horlogerie,chronographe,automatique","watch,timepiece,chronograph,automatic","orologio,cronografo","reloj,cronógrafo","Uhr,Armbanduhr"
3,jewelry,PRODUCT_PREFERENCES,"Intérêt pour la joaillerie","Interest in jewelry","High ticket item cross-sell","bijou,joaillerie,bague,collier,diamant","jewelry,jewellery,ring,necklace,diamond","gioiello,anello,collana","joya,anillo,collar","Schmuck,Ring,Halskette"
4,ready_to_wear,PRODUCT_PREFERENCES,"Intérêt pour le prêt-à-porter","Interest in ready-to-wear/fashion","Seasonal recurrence","vêtement,mode,robe,costume,prêt-à-porter","clothing,fashion,dress,suit,rtw","abbigliamento,vestito,abito","ropa,vestido,traje","Kleidung,Kleid,Anzug"
5,shoes,PRODUCT_PREFERENCES,"Intérêt pour les souliers","Interest in shoes/footwear","Entry point & recurrence","chaussure,soulier,basket,sneaker,talon","shoe,sneaker,heel,boots","scarpa,tacco,stivale","zapato,zapatilla,tacón","Schuh,Sneaker,Absatz"
6,perfume_cosmetics,PRODUCT_PREFERENCES,"Intérêt pour parfums et cosmétiques","Interest in perfumes & cosmetics","Gifting & entry point","parfum,fragrance,cosmétique,maquillage","perfume,fragrance,cosmetics,makeup","profumo,cosmetico,trucco","perfume,cosmético,maquillaje","Parfüm,Kosmetik,Make-up"
7,accessories,PRODUCT_PREFERENCES,"Intérêt pour les accessoires (ceintures, foulards...)","Interest in accessories (belts, scarves...)","Add-on sales","accessoire,ceinture,foulard,cravate,lunettes","accessory,belt,scarf,tie,sunglasses","accessorio,cintura,sciarpa","accesorio,cinturón,bufanda","Accessoire,Gürtel,Schal"
8,hardsided_luggage,PRODUCT_PREFERENCES,"Intérêt pour les malles et bagages rigides","Interest in trunks & hardsided luggage","Heritage & high value","malle,coffre,bagage rigide","trunk,hardsided,luggage","baule,valigia rigida","baúl,equipaje rígido","Koffer,Hartschale"
9,exotic_skins,PRODUCT_PREFERENCES,"Intérêt pour les cuirs exotiques","Interest in exotic skins","VIC & High Value","exotique,crocodile,python,autruche,lézard","exotic,croco,python,ostrich,lizard","esotico,coccodrillo,pitone","exótico,cocodrilo,pitón","Exoten,Krokodil,Python"
10,custom_orders,PRODUCT_PREFERENCES,"Intérêt pour la personnalisation/sur-mesure","Interest in personalization/made-to-order","Engagement & Loyalty","sur-mesure,personnalisation,commande spéciale,monogramme","custom,bespoke,made-to-order,monogram","su misura,personalizzazione","a medida,personalización","Maßanfertigung,Personalisierung"
11,golf,LIFESTYLE,"Pratique ou intérêt pour le golf","Golf practice or interest","Targeted events & lifestyle products","golf,golfeur,green,club","golf,golfer,green,club","golf,golfista","golf,golfista","Golf,Golfer"
12,sailing,LIFESTYLE,"Pratique ou intérêt pour la voile/yachting","Sailing/Yachting interest","Summer collections & events","voile,bateau,yacht,mer,navigation","sailing,boat,yacht,sea,sailing","vela,barca,yacht","vela,barco,yate","Segeln,Boot,Yacht"
13,equestrian,LIFESTYLE,"Pratique ou intérêt pour l'équitation","Equestrian interest","Heritage link & events","équitation,cheval,cavalier,hippique","equestrian,horse,riding","equitazione,cavallo","equitación,caballo","Reiten,Pferd"
14,tennis,LIFESTYLE,"Pratique ou intérêt pour le tennis","Tennis interest","Sportswear & events","tennis,roland garros,match","tennis,wimbledon,match","tennis,partita","tenis,partido","Tennis,Spiel"
15,skiing,LIFESTYLE,"Pratique ou intérêt pour le ski/montagne","Skiing/Mountain interest","Winter collections","ski,montagne,neige,hiver,station","ski,mountain,snow,winter,resort","sci,montagna,neve","esquí,montaña,nieve","Ski,Berg,Schnee"
16,art_collector,LIFESTYLE,"Collectionneur d'art","Art collector","High culture events & partnerships","art,collection,galerie,peinture,sculpture","art,collection,gallery,painting,sculpture","arte,collezione,galleria","arte,colección,galería","Kunst,Sammlung,Galerie"
17,wine_connoisseur,LIFESTYLE,"Amateur de vins et spiritueux","Wine & Spirits connoisseur","luxury ecosystem cross-sell","vin,champagne,spiritueux,cave,dégustation","wine,champagne,spirits,cellar,tasting","vino,champagne,cantina","vino,champán,bodega","Wein,Champagner,Keller"
18,gastronomy,LIFESTYLE,"Amateur de gastronomie","Gastronomy enthusiast","Events & experiences","gastronomie,restaurant,chef,cuisine,étoilé","gastronomy,restaurant,chef,cooking,michelin","gastronomia,ristorante,chef","gastronomía,restaurante,chef","Gastronomie,Restaurant,Koch"
19,travel_frequent,LIFESTYLE,"Voyageur fréquent","Frequent traveler","Travel retail & accessories","voyage,déplacement,aéroport,hôtel,monde","travel,trip,airport,hotel,world","viaggio,aeroporto,hotel","viaje,aeropuerto,hotel","Reise,Flughafen,Hotel"
20,wellness_yoga,LIFESTYLE,"Intérêt pour le bien-être/yoga","Wellness/Yoga interest","Activewear & self-care","yoga,bien-être,spa,méditation,santé","yoga,wellness,spa,meditation,health","yoga,benessere,spa","yoga,bienestar,spa","Yoga,Wellness,Spa"
21,opera_theater,LIFESTYLE,"Amateur d'opéra/théâtre","Opera/Theater enthusiast","Cultural events","opéra,théâtre,spectacle,ballet,musique classique","opera,theater,show,ballet,classical music","opera,teatro,spettacolo","ópera,teatro,espectáculo","Oper,Theater,Ballett"
22,vintage_cars,LIFESTYLE,"Amateur de voitures anciennes","Vintage cars enthusiast","Luxury lifestyle events","voiture ancienne,collection,automobile,rallye","vintage car,classic car,collection,rally","auto d'epoca,collezione","coche clásico,colección","Oldtimer,Sammlung"
23,philanthropy,LIFESTYLE,"Impliqué dans la philanthropie","Philanthropy involvement","Values alignment & charity events","philanthropie,charité,association,don,fondation","philanthropy,charity,non-profit,donation,foundation","filantropia,beneficenza","filantropía,caridad","Philanthropie,Wohltätigkeit"
24,tech_enthusiast,LIFESTYLE,"Passionné de technologie","Tech enthusiast","Innovation & digital products","tech,technologie,gadget,digital,innovation","tech,technology,gadget,digital,innovation","tecnologia,gadget","tecnología,gadget","Technik,Technologie"
25,interior_design,LIFESTYLE,"Intérêt pour la décoration d'intérieur","Interior design interest","Home collection cross-sell","décoration,design,intérieur,meuble,architecture","decoration,design,interior,furniture,architecture","arredamento,design","decoración,diseño","Dekoration,Design"
26,photography_collector,LIFESTYLE,"Collectionneur de photographie","Photography collector","Niche art interest","photo,photographie,appareil,tirage,argentique","photo,photography,camera,print,film","foto,fotografia","foto,fotografía","Foto,Fotografie"
27,nft_digital_art_collector,LIFESTYLE,"Collectionneur d'art numérique/NFT","NFT/Digital Art collector","New wealth segment","nft,crypto art,digital art,blockchain,web3","nft,crypto art,digital art,blockchain,web3","nft,arte digitale","nft,arte digital","NFT,digitale Kunst"
28,book_collector_rare,LIFESTYLE,"Collectionneur de livres rares","Rare book collector","Intellectual/Heritage interest","livre,bibliothèque,édition originale,rare,manuscrit","book,library,first edition,rare,manuscript","libro,biblioteca","libro,biblioteca","Buch,Bibliothek"
29,vegan,SENSITIVITIES,"Mode de vie vegan","Vegan lifestyle","Material restrictions (no leather)","vegan,végétalien,animal,cruelty-free","vegan,plant-based,cruelty-free","vegano,cruelty-free","vegano,cruelty-free","vegan,tierversuchsfrei"
30,vegetarian,SENSITIVITIES,"Régime végétarien","Vegetarian diet","Event catering","végétarien,viande","vegetarian,meat-free","vegetariano","vegetariano","vegetarisch"
31,pescatarian,SENSITIVITIES,"Régime pescatarien","Pescatarian diet","Event catering","pescatarien,poisson","pescatarian,fish","pescetariano","pescetariano","pescetarisch"
32,sustainable_values,SENSITIVITIES,"Sensible au développement durable","Sustainability conscious","Eco-friendly product pitch","durable,écologie,environnement,responsable,éthique","sustainable,eco-friendly,environment,ethical,green","sostenibile,ecologia","sostenible,ecología","nachhaltig,Ökologie"
33,artisan_craft_appreciation,SENSITIVITIES,"Apprécie l'artisanat/savoir-faire","Appreciates craftsmanship","Heritage & quality pitch","artisanat,savoir-faire,main,atelier,métier","craftsmanship,savoir-faire,handmade,workshop,craft","artigianato,saper fare","artesanía,saber hacer","Handwerk,Kunsthandwerk"
34,heritage_importance,SENSITIVITIES,"Attaché à l'histoire/héritage","Values heritage/history","Brand story pitch","héritage,histoire,tradition,ancien,racines","heritage,history,tradition,legacy,roots","eredità,storia","herencia,historia","Erbe,Geschichte"
35,innovation_interest,SENSITIVITIES,"Intéressé par l'innovation/nouveauté","Interested in innovation","New collection pitch","innovation,nouveau,moderne,futur,avant-garde","innovation,new,modern,future,avant-garde","innovazione,nuovo","innovación,nuevo","Innovation,neu"
36,budget_very_flexible,SENSITIVITIES,"Budget très flexible/illimité","Very flexible/unlimited budget","High value potential","budget illimité,pas de limite,prix n'importe pas","unlimited budget,no limit,price doesn't matter","budget illimitato","presupuesto ilimitado","Budget unbegrenzt"
37,investment_mindset,SENSITIVITIES,"Voit l'achat comme un investissement","Views purchase as investment","Value retention pitch","investissement,valeur,cote,revendre,patrimoine","investment,value,resale,asset,patrimony","investimento,valore","inversión,valor","Investition,Wert"
38,seeks_unique_pieces,SENSITIVITIES,"Recherche pièces uniques/rares","Seeks unique/rare pieces","Exclusivity pitch","unique,rare,exclusif,limité,introuvable","unique,rare,exclusive,limited,hard to find","unico,raro","único,raro","einzigartig,selten"
39,nickel_allergy,HEALTH_ALLERGIES,"Allergie au nickel","Nickel allergy","Hardware material check","nickel,métal,bijoux fantaisie","nickel,metal,costume jewelry","nichel,metallo","níquel,metal","Nickel,Metall"
40,latex_allergy,HEALTH_ALLERGIES,"Allergie au latex","Latex allergy","Material check","latex,caoutchouc,gant","latex,rubber,glove","lattice,gomma","látex,caucho","Latex,Gummi"
41,nut_allergy,HEALTH_ALLERGIES,"Allergie aux fruits à coque","Nut allergy","Catering critical","noix,arachide,cacahuète,fruit à coque,amande","nut,peanut,almond,cashew,walnut","noce,arachide","nuez,cacahuete","Nuss,Erdnuss"
42,shellfish_allergy,HEALTH_ALLERGIES,"Allergie aux crustacés","Shellfish allergy","Catering critical","crustacé,fruit de mer,crevette,crabe","shellfish,seafood,shrimp,crab,lobster","crostaceo,frutti di mare","marisco,gamba","Krustentier,Meeresfrüchte"
43,gluten_intolerance,HEALTH_ALLERGIES,"Intolérance au gluten","Gluten intolerance","Catering critical","gluten,blé,pain,pâte,celiac","gluten,wheat,bread,pasta,celiac","glutine,grano","gluten,trigo","Gluten,Weizen"
44,lactose_intolerance,HEALTH_ALLERGIES,"Intolérance au lactose","Lactose intolerance","Catering critical","lactose,lait,crème,fromage,produit laitier","lactose,milk,cream,cheese,dairy","lattosio,latte","lactosa,leche","Laktose,Milch"
45,chemical_sensitivity,HEALTH_ALLERGIES,"Sensibilité produits chimiques/parfums","Chemical/Perfume sensitivity","Product caution","chimique,parfum,odeur,réaction,peau sensible","chemical,perfume,scent,reaction,sensitive skin","chimico,profumo","químico,perfume","Chemikalie,Parfüm"
46,dust_allergy,HEALTH_ALLERGIES,"Allergie à la poussière","Dust allergy","Environment caution","poussière,acarien,éternuer","dust,mite,sneeze","polvere,acaro","polvo,ácaro","Staub,Milbe"
47,animal_allergy,HEALTH_ALLERGIES,"Allergie aux animaux/poils","Animal/Fur allergy","Material caution (fur)","animal,poil,chat,chien,fourrure","animal,hair,cat,dog,fur","animale,pelo","animal,pelo","Tier,Haar"
48,vic,CLIENT_PROFILE,"Very Important Client","Very Important Client","Top tier service","vic,très important,top client,vip","vic,very important,top client,vip","vic,molto importante","vic,muy importante","VIC,sehr wichtig"
49,regular_client,CLIENT_PROFILE,"Client régulier","Regular client","Retention focus","régulier,habituel,fidèle,souvent,revient","regular,habitual,loyal,often,returns","regolare,abituale","regular,habitual","regelmäßig,Stammkunde"
50,occasional_client,CLIENT_PROFILE,"Client occasionnel","Occasional client","Frequency increase potential","occasionnel,parfois,rarement,de temps en temps","occasional,sometimes,rarely,from time to time","occasionale,a volte","ocasional,a veces","gelegentlich,manchmal"
51,first_visit,CLIENT_PROFILE,"Première visite","First visit","Acquisition & onboarding","première fois,nouveau,découvre,jamais venu","first time,new,discovers,never been","prima volta,nuovo","primera vez,nuevo","erstes Mal,neu"
52,multi_generational,CLIENT_PROFILE,"Client multi-générationnel","Multi-generational client","Family loyalty","famille,mère et fille,génération,héritage","family,mother and daughter,generation,legacy","famiglia,generazione","familia,generación","Familie,Generation"
53,corporate_gifting,CLIENT_PROFILE,"Cadeaux d'affaires","Corporate gifting","B2B potential","entreprise,cadeau d'affaires,client,partenaire,société","corporate,business gift,client,partner,company","azienda,regalo aziendale","empresa,regalo de empresa","Firma,Geschäftsgeschenk"
54,referral_proven,CLIENT_PROFILE,"A déjà référé des clients","Has referred clients","Ambassador activation","a envoyé,recommandé par,a amené,parrainage","referred,recommended by,brought,sponsorship","riferito,raccomandato","referido,recomendado","empfohlen,gebracht"
55,high_network_documented,CLIENT_PROFILE,"Réseau important documenté","Documented high network","Influence potential","réseau,connaît tout le monde,influent,carnet d'adresses","network,knows everyone,influential,rolodex","rete,influente","red,influyente","Netzwerk,einflussreich"
56,social_media_influencer,CLIENT_PROFILE,"Influenceur réseaux sociaux","Social media influencer","Digital visibility","instagram,tiktok,followers,influenceur,post","instagram,tiktok,followers,influencer,post","instagram,tiktok","instagram,tiktok","Instagram,TikTok"
57,brand_ambassador_potential,CLIENT_PROFILE,"Potentiel ambassadeur de marque","Brand ambassador potential","Loyalty program target","fan,adore la marque,promeut,parle de nous","fan,loves the brand,promotes,talks about us","fan,ama il marchio","fan,ama la marca","Fan,liebt die Marke"
58,at_risk_churn,CLIENT_PROFILE,"Client à risque de départ","At risk of churn","Reactivation needed","pas vu depuis,disparu,mécontent,déçu","not seen since,disappeared,unhappy,disappointed","non visto da,scomparso","no visto desde,desaparecido","nicht gesehen seit,verschwunden"
59,anniversary_gift,PURCHASE_OCCASIONS,"Cadeau d'anniversaire de mariage/rencontre","Anniversary gift","Celebration opportunity","anniversaire de mariage,noces,rencontre,date","anniversary,wedding anniversary,date","anniversario","aniversario","Jahrestag,Hochzeitstag"
60,birthday_gift,PURCHASE_OCCASIONS,"Cadeau d'anniversaire","Birthday gift","Celebration opportunity","anniversaire,fête,bougies,âge","birthday,party,candles,age","compleanno,festa","cumpleaños,fiesta","Geburtstag,Party"
61,wedding_gift,PURCHASE_OCCASIONS,"Cadeau de mariage","Wedding gift","High value opportunity","mariage,épouser,cérémonie,liste","wedding,marry,ceremony,registry","matrimonio,sposare","boda,casarse","Hochzeit,heiraten"
62,graduation_gift,PURCHASE_OCCASIONS,"Cadeau de diplôme","Graduation gift","Young client acquisition","diplôme,bac,université,examen,réussite","graduation,degree,university,exam,success","laurea,diploma","graduación,título","Abschluss,Diplom"
63,self_purchase,PURCHASE_OCCASIONS,"Achat pour soi","Self-purchase","Personal treat","pour moi,me faire plaisir,besoin,envie","for me,treat myself,need,want","per me,piacere","para mí,capricho","für mich,gönnen"
64,business_gift,PURCHASE_OCCASIONS,"Cadeau professionnel","Business gift","Corporate sales","cadeau client,remercier,collègue,patron","client gift,thank,colleague,boss","regalo cliente,collega","regalo cliente,colega","Kundengeschenk,Kollege"
65,milestone_celebration,PURCHASE_OCCASIONS,"Célébration d'étape importante","Milestone celebration","Memorable purchase","fêter,célébrer,étape,grand moment","celebrate,milestone,big moment","celebrare,tappa","celebrar,hito","feiern,Meilenstein"
66,milestone_anniversary_25_plus,PURCHASE_OCCASIONS,"Anniversaire mariage 25+ ans","25+ years anniversary","Very high budget potential","noces d'argent,noces d'or,25 ans,50 ans,30 ans","silver wedding,golden wedding,25 years,50 years","nozze d'argento,nozze d'oro","bodas de plata,bodas de oro","Silberhochzeit,Goldene Hochzeit"
67,childbirth_celebration,PURCHASE_OCCASIONS,"Naissance/Baptême","Birth/Baptism","Family entry point","naissance,bébé,baptême,accouchement,nouveau-né","birth,baby,baptism,delivery,newborn","nascita,bambino","nacimiento,bebé","Geburt,Baby"
68,retirement_celebration,PURCHASE_OCCASIONS,"Départ à la retraite","Retirement","Gift & lifestyle change","retraite,départ,fin carrière,pot","retirement,leaving,career end","pensione","jubilación","Ruhestand,Rente"
69,promotion_celebration,PURCHASE_OCCASIONS,"Promotion professionnelle","Job promotion","Self-reward potential","promotion,augmentation,nouveau poste,nomination","promotion,raise,new job,appointment","promozione,nuovo lavoro","promoción,nuevo trabajo","Beförderung,neuer Job"
70,medical_surgeon,PROFESSIONAL_PROFILE,"Chirurgien","Surgeon","High budget proxy","chirurgien,opérer,bloc,clinique","surgeon,operate,theater,clinic","chirurgo,operare","cirujano,operar","Chirurg,operieren"
71,medical_specialist,PROFESSIONAL_PROFILE,"Médecin spécialiste","Medical specialist","High budget proxy","cardiologue,dermatologue,oncologue,radiologue,spécialiste","cardiologist,dermatologist,oncologist,radiologist,specialist","cardiologo,specialista","cardiólogo,especialista","Kardiologe,Spezialist"
72,medical_general,PROFESSIONAL_PROFILE,"Médecin généraliste/Dentiste","GP/Dentist","Stable income proxy","médecin,généraliste,docteur,dentiste,cabinet","doctor,gp,physician,dentist,practice","medico,dentista","médico,dentista","Arzt,Zahnarzt"
73,legal_corporate,PROFESSIONAL_PROFILE,"Avocat d'affaires","Corporate lawyer","High budget proxy","avocat d'affaires,corporate,fusion,cabinet international","corporate lawyer,mergers,international firm","avvocato d'affari","abogado de negocios","Wirtschaftsanwalt"
74,legal_family,PROFESSIONAL_PROFILE,"Avocat famille/Notaire","Family lawyer/Notary","Stable income proxy","avocat,notaire,droit,juriste","lawyer,notary,law,jurist","avvocato,notaio","abogado,notario","Anwalt,Notar"
75,finance_banking,PROFESSIONAL_PROFILE,"Banquier","Banker","Stable income proxy","banquier,banque,directeur agence,crédit","banker,bank,branch manager,credit","banchiere,banca","banquero,banco","Banker,Bank"
76,finance_investment,PROFESSIONAL_PROFILE,"Finance de marché/Investissement","Investment/Market finance","High bonus potential","trader,fonds,investissement,gestionnaire,finance","trader,fund,investment,manager,finance","trader,investimento","trader,inversión","Trader,Investment"
77,finance_insurance,PROFESSIONAL_PROFILE,"Assurance","Insurance","Stable income proxy","assureur,assurance,courtier,actuaire","insurer,insurance,broker,actuary","assicuratore","asegurador","Versicherung"
78,entrepreneur_tech,PROFESSIONAL_PROFILE,"Entrepreneur Tech","Tech Entrepreneur","High growth potential","startup,tech,saas,app,fondateur,ceo","startup,tech,saas,app,founder,ceo","startup,tech","startup,tech","Startup,Tech"
79,entrepreneur_fashion,PROFESSIONAL_PROFILE,"Entrepreneur Mode/Luxe","Fashion/Luxury Entrepreneur","Industry connection","mode,marque,créateur,showroom,fashion","fashion,brand,creator,showroom","moda,marchio","moda,marca","Mode,Marke"
80,entrepreneur_real_estate,PROFESSIONAL_PROFILE,"Entrepreneur Immobilier","Real Estate Entrepreneur","High asset value","immobilier,promoteur,agence,biens,immo","real estate,developer,agency,properties","immobiliare","inmobiliaria","Immobilien"
81,entrepreneur_hospitality,PROFESSIONAL_PROFILE,"Entrepreneur Hôtellerie/Restauration","Hospitality Entrepreneur","Network & events","restaurateur,hôtel,restaurant,chef,propriétaire","restaurateur,hotel,restaurant,chef,owner","ristoratore,hotel","restaurador,hotel","Gastronom,Hotel"
82,creative_arts_visual,PROFESSIONAL_PROFILE,"Arts visuels (Artiste, Galeriste)","Visual Arts (Artist, Gallerist)","Cultural capital","artiste,peintre,galeriste,photographe,art","artist,painter,gallerist,photographer,art","artista,galleria","artista,galería","Künstler,Galerie"
83,creative_arts_music,PROFESSIONAL_PROFILE,"Musique (Musicien, DJ, Producteur)","Music (Musician, DJ, Producer)","Cultural capital","musicien,dj,producteur,chanteur,concert","musician,dj,producer,singer,concert","musicista,dj","músico,dj","Musiker,DJ"
84,creative_fashion_industry,PROFESSIONAL_PROFILE,"Industrie Mode (Styliste, DA)","Fashion Industry (Stylist, AD)","Industry connection","styliste,designer,directeur artistique,da,couture","stylist,designer,art director,ad,couture","stilista,designer","estilista,diseñador","Stylist,Designer"
85,influencer_lifestyle,PROFESSIONAL_PROFILE,"Influenceur Lifestyle","Lifestyle Influencer","Visibility","influenceur,blogueur,youtubeur,contenu","influencer,blogger,youtuber,content","influencer","influencer","Influencer"
86,media_professional,PROFESSIONAL_PROFILE,"Professionnel Média","Media Professional","Network","journaliste,télé,presse,éditeur,média","journalist,tv,press,editor,media","giornalista,media","periodista,medios","Journalist,Medien"
87,corporate_executive_c_level,PROFESSIONAL_PROFILE,"Dirigeant d'entreprise (C-Level)","Corporate Executive (C-Level)","High income & status","pdg,dg,ceo,cfo,directeur général,exécutif","ceo,cfo,gm,managing director,executive","amministratore delegato","director general","Geschäftsführer,Vorstand"
88,shopping_with_spouse,RELATIONSHIP_DYNAMICS,"Shopping avec conjoint(e)","Shopping with spouse","Joint decision making","mari,femme,époux,épouse,conjoint,couple","husband,wife,spouse,partner,couple","marito,moglie","marido,mujer","Mann,Frau"
89,shopping_with_parent,RELATIONSHIP_DYNAMICS,"Shopping avec parent","Shopping with parent","Family influence","mère,père,maman,papa,parents","mother,father,mom,dad,parents","madre,padre","madre,padre","Mutter,Vater"
90,shopping_with_children,RELATIONSHIP_DYNAMICS,"Shopping avec enfants","Shopping with children","Family focus","enfant,fille,fils,bébé,poussette","child,daughter,son,baby,stroller","bambino,figlia","niño,hija","Kind,Tochter"
91,shopping_alone,RELATIONSHIP_DYNAMICS,"Shopping seul(e)","Shopping alone","Self-focus or secret gift","seul,seule,solo,personne d'autre","alone,solo,by myself,no one else","da solo","solo","allein"
92,multi_generational_family,RELATIONSHIP_DYNAMICS,"Famille multi-générationnelle","Multi-generational family","High value group","grand-mère,mère,fille,3 générations","grandmother,mother,daughter,3 generations","nonna,madre","abuela,madre","Großmutter,Mutter"
93,gift_for_spouse,RELATIONSHIP_DYNAMICS,"Cadeau pour conjoint(e)","Gift for spouse","Romantic intent","pour mon mari,pour ma femme,son cadeau","for my husband,for my wife,his/her gift","per mio marito","para mi marido","für meinen Mann"
94,gift_for_parent,RELATIONSHIP_DYNAMICS,"Cadeau pour parent","Gift for parent","Filial intent","pour ma mère,pour mon père,fête des mères","for my mother,for my father,mothers day","per mia madre","para mi madre","für meine Mutter"
95,gift_for_child,RELATIONSHIP_DYNAMICS,"Cadeau pour enfant","Gift for child","Parental intent","pour ma fille,pour mon fils,récompense","for my daughter,for my son,reward","per mia figlia","para mi hija","für meine Tochter"
96,gift_for_sibling,RELATIONSHIP_DYNAMICS,"Cadeau pour frère/sœur","Gift for sibling","Family intent","pour ma sœur,pour mon frère","for my sister,for my brother","per mia sorella","para mi hermana","für meine Schwester"
97,gift_for_business_associate,RELATIONSHIP_DYNAMICS,"Cadeau pour relation pro","Gift for business associate","Professional intent","pour un client,pour mon associé,pour mon patron","for a client,for my partner,for my boss","per un cliente","para un cliente","für einen Kunden"
98,gift_for_friend,RELATIONSHIP_DYNAMICS,"Cadeau pour ami(e)","Gift for friend","Social intent","pour une amie,pour un ami,meilleure amie","for a friend,best friend","per un amico","para un amigo","für einen Freund"
